2021-07-07-13-53-59-310690 LOGR LOGR start
2021-07-07-13-54-01-562683 CTRL CTRL start
2021-07-07-13-54-04-155726 AP-1 AP-1 start ['.\\ap-3.py', 'AP-1', '0']
2021-07-07-13-54-04-156726 AP-1 EdgeServer-1 start  (initial launch)
2021-07-07-04-54-34-936316 EdgeServer-1 EdgeServer-1 start ['/tmp/server.py', 'EdgeServer-1', '0']
2021-07-07-04-54-35-038205 EdgeServer-1 AP-1 EdgeServer-1 ES-READY (sent)
2021-07-07-13-54-35-143009 AP-1 192.168.0.113 EdgeServer-1 ES-READY (recvd)
2021-07-07-13-54-40-732260 USER USER start ['.\\user-5.py', '0']
2021-07-07-13-54-40-836171 USER AP-1 USER HELO (sent)
2021-07-07-13-54-40-866288 AP-1 192.168.0.2 USER HELO (recvd)
2021-07-07-13-54-41-095169 LOGR CTRL LOGR HELO AP-1 (sent to controller)
2021-07-07-13-54-40-973526 AP-1 USER AP-1 ES-READY (sent)
2021-07-07-13-54-41-050316 USER 192.168.0.2 AP-1 ES-READY (recvd)
2021-07-07-13-54-41-095169 LOGR CTRL LOGR HELO AP-1 (sent)
2021-07-07-13-54-41-141260 CTRL 192.168.0.2 LOGR HELO AP-1 (recvd)
2021-07-07-13-54-41-552333 USER AP-1 USER SVCQ 0 (sent)
2021-07-07-13-54-41-612827 AP-1 192.168.0.2 USER SVCQ 0 (recvd)
2021-07-07-13-54-41-720784 AP-1 EdgeServer-1 AP-1 SVCQ 0 (sent)
2021-07-07-04-54-41-690541 EdgeServer-1 192.168.0.2 AP-1 SVCQ 0 (recvd)
2021-07-07-04-54-41-852157 EdgeServer-1 AP-1 EdgeServer-1 SVCR 0 (sent)
2021-07-07-13-54-41-934888 AP-1 192.168.0.113 EdgeServer-1 SVCR 0 (recvd)
2021-07-07-13-54-42-041741 AP-1 USER AP-1 SVCR 0 (sent)
2021-07-07-13-54-42-056620 USER 192.168.0.2 AP-1 SVCR 0 (recvd)
2021-07-07-13-54-42-558649 USER AP-1 USER SVCQ 1 (sent)
2021-07-07-13-54-42-574263 AP-1 192.168.0.2 USER SVCQ 1 (recvd)
2021-07-07-13-54-42-679905 AP-1 EdgeServer-1 AP-1 SVCQ 1 (sent)
