2021-07-07-18-23-49-426303 LOGR LOGR start
2021-07-07-18-23-51-195560 CTRL CTRL start
2021-07-07-18-23-53-593427 AP-1 AP-1 start ['.\\ap.py', 'AP-1', '-1']
2021-07-07-18-23-53-593427 AP-1 EdgeServer1 start  (initial launch)
2021-07-07-18-23-55-702167 EdgeServer1 EdgeServer1 start ['.\\docker-server.py', 'EdgeServer1', '-1']
2021-07-07-18-23-55-816674 EdgeServer1 AP-1 EdgeServer1 ES-READY (sent)
2021-07-07-18-23-55-921675 AP-1 127.0.0.1 EdgeServer1 ES-READY (recvd)
2021-07-07-18-23-58-162642 USER USER start ['.\\user.py', '-1']
2021-07-07-18-23-58-270017 USER AP-1 USER HELO (sent)
2021-07-07-18-23-58-362009 AP-1 127.0.0.1 USER HELO (recvd)
2021-07-07-18-23-58-467608 AP-1 USER AP-1 ES-READY (sent)
2021-07-07-18-23-58-482608 USER 127.0.0.1 AP-1 ES-READY (recvd)
2021-07-07-18-23-58-983605 USER AP-1 USER SVCQ 0 (sent)
2021-07-07-18-23-58-998602 AP-1 127.0.0.1 USER SVCQ 0 (recvd)
2021-07-07-18-23-59-103600 AP-1 EdgeServer1 AP-1 SVCQ 0 (sent)
2021-07-07-18-23-59-209959 EdgeServer1 127.0.0.1 AP-1 SVCQ 0 (recvd)
2021-07-07-18-23-59-314876 EdgeServer1 AP-1 EdgeServer1 SVCR 0 (sent)
2021-07-07-18-23-59-421749 AP-1 127.0.0.1 EdgeServer1 SVCR 0 (recvd)
2021-07-07-18-23-59-528093 AP-1 USER AP-1 SVCR 0 (sent)
2021-07-07-18-23-59-998710 USER AP-1 USER SVCQ 1 (sent)
2021-07-07-18-24-00-058890 AP-1 127.0.0.1 USER SVCQ 1 (recvd)
2021-07-07-18-24-00-164917 AP-1 EdgeServer1 AP-1 SVCQ 1 (sent)
2021-07-07-18-24-00-270919 EdgeServer1 127.0.0.1 AP-1 SVCQ 1 (recvd)
2021-07-07-18-24-00-377124 EdgeServer1 AP-1 EdgeServer1 SVCR 1 (sent)
2021-07-07-18-24-00-484495 AP-1 127.0.0.1 EdgeServer1 SVCR 1 (recvd)
2021-07-07-18-24-00-499766 USER 127.0.0.1 AP-1 SVCR 0 (recvd)
2021-07-07-18-24-00-591083 AP-1 USER AP-1 SVCR 1 (sent)
2021-07-07-18-24-01-001252 USER AP-1 USER SVCQ 2 (sent)
2021-07-07-18-24-01-016253 AP-1 127.0.0.1 USER SVCQ 2 (recvd)
2021-07-07-18-24-01-121256 AP-1 EdgeServer1 AP-1 SVCQ 2 (sent)
2021-07-07-18-24-01-228175 EdgeServer1 127.0.0.1 AP-1 SVCQ 2 (recvd)
