2021-07-07-18-33-24-734552 LOGR LOGR start
2021-07-07-18-33-29-243649 CTRL CTRL start
2021-07-07-18-33-45-024483 AP-1 AP-1 start ['.\\ap-3.py', 'AP-1', '-1']
2021-07-07-18-33-45-024483 AP-1 EdgeServer1 start  (initial launch)
2021-07-07-18-35-12-161593 EdgeServer-X EdgeServer-X Need 3 args! ['.\\docker-server-4.py']
2021-07-07-18-35-25-764828 EdgeServer-X EdgeServer-X Incorrect EdgeServer name! EdgeServer-1
2021-07-07-18-35-33-722801 EdgeServer1 EdgeServer1 start ['.\\docker-server-4.py', 'EdgeServer1', '-1']
2021-07-07-18-35-33-836601 EdgeServer1 AP-1 EdgeServer1 ES-READY (sent)
2021-07-07-18-35-33-943290 AP-1 127.0.0.1 EdgeServer1 ES-READY (recvd)
2021-07-07-18-36-18-206045 USER USER start ['.\\user-5.py', '-1']
2021-07-07-18-36-18-307664 USER AP-1 USER HELO (sent)
2021-07-07-18-36-18-413708 AP-1 127.0.0.1 USER HELO (recvd)
2021-07-07-18-36-18-518512 AP-1 USER AP-1 ES-READY (sent)
2021-07-07-18-36-18-625338 USER 127.0.0.1 AP-1 ES-READY (recvd)
2021-07-07-18-36-19-130022 USER AP-1 USER SVCQ 0 (sent)
2021-07-07-18-36-19-160943 AP-1 127.0.0.1 USER SVCQ 0 (recvd)
2021-07-07-18-36-19-268186 AP-1 EdgeServer1 AP-1 SVCQ 0 (sent)
2021-07-07-18-36-19-375282 EdgeServer1 127.0.0.1 AP-1 SVCQ 0 (recvd)
2021-07-07-18-36-19-481187 EdgeServer1 AP-1 EdgeServer1 SVCR 0 (sent)
2021-07-07-18-36-19-586793 AP-1 127.0.0.1 EdgeServer1 SVCR 0 (recvd)
2021-07-07-18-36-19-693301 AP-1 USER AP-1 SVCR 0 (sent)
2021-07-07-18-36-20-132830 USER AP-1 USER SVCQ 1 (sent)
2021-07-07-18-36-20-222895 AP-1 127.0.0.1 USER SVCQ 1 (recvd)
2021-07-07-18-36-20-328382 AP-1 EdgeServer1 AP-1 SVCQ 1 (sent)
2021-07-07-18-36-20-434051 EdgeServer1 127.0.0.1 AP-1 SVCQ 1 (recvd)
2021-07-07-18-36-20-539766 EdgeServer1 AP-1 EdgeServer1 SVCR 1 (sent)
2021-07-07-18-36-20-646149 USER 127.0.0.1 AP-1 SVCR 0 (recvd)
2021-07-07-18-36-20-646149 AP-1 127.0.0.1 EdgeServer1 SVCR 1 (recvd)
2021-07-07-18-36-20-751070 AP-1 USER AP-1 SVCR 1 (sent)
2021-07-07-18-36-21-158393 USER AP-1 USER SVCQ 2 (sent)
2021-07-07-18-36-21-173362 AP-1 127.0.0.1 USER SVCQ 2 (recvd)
2021-07-07-18-36-21-278941 AP-1 EdgeServer1 AP-1 SVCQ 2 (sent)
2021-07-07-18-36-21-385904 EdgeServer1 127.0.0.1 AP-1 SVCQ 2 (recvd)
2021-07-07-18-36-21-492464 EdgeServer1 AP-1 EdgeServer1 SVCR 2 (sent)
2021-07-07-18-36-21-597706 AP-1 127.0.0.1 EdgeServer1 SVCR 2 (recvd)
2021-07-07-18-36-21-672632 USER 127.0.0.1 AP-1 SVCR 1 (recvd)
2021-07-07-18-36-21-702629 AP-1 USER AP-1 SVCR 2 (sent)
2021-07-07-18-36-22-186894 USER AP-1 USER SVCQ 3 (sent)
2021-07-07-18-36-22-232940 AP-1 127.0.0.1 USER SVCQ 3 (recvd)
2021-07-07-18-36-22-338850 AP-1 EdgeServer1 AP-1 SVCQ 3 (sent)
2021-07-07-18-36-22-444136 EdgeServer1 127.0.0.1 AP-1 SVCQ 3 (recvd)
2021-07-07-18-36-22-550808 EdgeServer1 AP-1 EdgeServer1 SVCR 3 (sent)
2021-07-07-18-36-22-658195 AP-1 127.0.0.1 EdgeServer1 SVCR 3 (recvd)
2021-07-07-18-36-22-688547 USER 127.0.0.1 AP-1 SVCR 2 (recvd)
2021-07-07-18-36-22-765034 AP-1 USER AP-1 SVCR 3 (sent)
2021-07-07-18-36-23-203853 USER AP-1 USER SVCQ 4 (sent)
2021-07-07-18-36-23-296031 AP-1 127.0.0.1 USER SVCQ 4 (recvd)
2021-07-07-18-36-23-403280 AP-1 EdgeServer1 AP-1 SVCQ 4 (sent)
2021-07-07-18-36-23-508559 EdgeServer1 127.0.0.1 AP-1 SVCQ 4 (recvd)
2021-07-07-18-36-23-613614 EdgeServer1 AP-1 EdgeServer1 SVCR 4 (sent)
2021-07-07-18-36-23-704094 USER 127.0.0.1 AP-1 SVCR 3 (recvd)
2021-07-07-18-36-23-718960 AP-1 127.0.0.1 EdgeServer1 SVCR 4 (recvd)
2021-07-07-18-36-23-824515 AP-1 USER AP-1 SVCR 4 (sent)
2021-07-07-18-36-24-216408 USER AP-1 USER SVCQ 5 (sent)
2021-07-07-18-36-24-247069 AP-1 127.0.0.1 USER SVCQ 5 (recvd)
2021-07-07-18-36-24-352321 AP-1 EdgeServer1 AP-1 SVCQ 5 (sent)
2021-07-07-18-36-24-459042 EdgeServer1 127.0.0.1 AP-1 SVCQ 5 (recvd)
2021-07-07-18-36-24-566385 EdgeServer1 AP-1 EdgeServer1 SVCR 5 (sent)
2021-07-07-18-36-24-671801 AP-1 127.0.0.1 EdgeServer1 SVCR 5 (recvd)
2021-07-07-18-36-24-718125 USER 127.0.0.1 AP-1 SVCR 4 (recvd)
2021-07-07-18-36-24-778157 AP-1 USER AP-1 SVCR 5 (sent)
2021-07-07-18-36-25-232242 USER AP-1 USER SVCQ 6 (sent)
2021-07-07-18-36-25-308133 AP-1 127.0.0.1 USER SVCQ 6 (recvd)
2021-07-07-18-36-25-414288 AP-1 EdgeServer1 AP-1 SVCQ 6 (sent)
2021-07-07-18-36-25-519734 EdgeServer1 127.0.0.1 AP-1 SVCQ 6 (recvd)
2021-07-07-18-36-25-625649 EdgeServer1 AP-1 EdgeServer1 SVCR 6 (sent)
2021-07-07-18-36-25-732306 AP-1 127.0.0.1 EdgeServer1 SVCR 6 (recvd)
2021-07-07-18-36-25-732306 USER 127.0.0.1 AP-1 SVCR 5 (recvd)
